"count","marker","date_time","description"
"1","ERROR","2017-11-10 11:29:47","openerp.http: Exception during JSON request handling."
"1","ERROR","2017-11-10 11:33:37","openerp.service.server: Exception happened during processing of request from ('127.0.0.1', 60309)"
"1","ERROR","2017-11-10 11:33:37","openerp.service.server: Exception happened during processing of request from ('127.0.0.1', 60414)"
"1","ERROR","2017-11-10 11:33:37","openerp.service.server: Exception happened during processing of request from ('127.0.0.1', 60415)"
"1","ERROR","2017-11-10 12:07:44","openerp.service.server: Exception happened during processing of request from ('127.0.0.1', 54278)"
"51","ERROR","2017-11-10 12:14:41","werkzeug: Error on request:"
"1","ERROR","2017-11-10 12:15:42","openerp.service.server: Exception happened during processing of request from ('127.0.0.1', 56626)"
"1","ERROR","2017-11-10 12:15:54","openerp.service.server: Exception happened during processing of request from ('127.0.0.1', 56721)"
"1","ERROR","2017-11-10 12:16:55","openerp.service.server: Exception happened during processing of request from ('127.0.0.1', 57052)"
"1","ERROR","2017-11-10 12:17:28","openerp.service.server: Exception happened during processing of request from ('127.0.0.1', 57252)"
"1","ERROR","2017-11-10 12:19:03","openerp.service.server: Exception happened during processing of request from ('127.0.0.1', 57778)"
"1","ERROR","2017-11-10 12:24:00","openerp.service.server: Exception happened during processing of request from ('127.0.0.1', 59336)"
"1","ERROR","2017-11-10 12:27:53","openerp.service.server: Exception happened during processing of request from ('127.0.0.1', 60481)"
"1","ERROR","2017-11-10 12:28:44","openerp.service.server: Exception happened during processing of request from ('127.0.0.1', 60740)"
"1","ERROR","2017-11-10 12:28:51","openerp.service.server: Exception happened during processing of request from ('127.0.0.1', 60810)"
"1","ERROR","2017-11-10 15:27:46","openerp.service.server: Exception happened during processing of request from ('127.0.0.1', 61475)"
"1","ERROR","2017-11-10 15:37:03","openerp.service.server: Exception happened during processing of request from ('127.0.0.1', 64824)"
"1","ERROR","2017-11-10 15:37:06","openerp.service.server: Exception happened during processing of request from ('127.0.0.1', 64884)"
"1","ERROR","2017-11-10 15:47:21","openerp.service.server: Exception happened during processing of request from ('127.0.0.1', 52710)"
"1","ERROR","2017-11-10 16:03:49","openerp.service.server: Exception happened during processing of request from ('127.0.0.1', 58741)"
"70","ERROR","2017-11-10 17:00:57","openerp.sql_db: Connection to the database failed"
"8","CRITICAL","2017-11-10 17:00:57","openerp.service.server: Failed to initialize database `pg`."
"32","ERROR","2017-11-10 17:01:54","openerp.addons.bus.bus: Bus.loop error, sleep and retry"
"34","ERROR","2017-11-10 17:02:00","openerp.http: FATAL:  password authentication failed for user ""openpg"""
"20","WARNING","2017-11-10 17:29:12","openerp.modules.module: module some_product_blog_v2: module not found"
