"#","#"
"Author url","http://quotes.toscrape.com/author/Albert-Einstein"
"Author name","Albert Einstein"
"Author birth date","March 14, 1879"
"Author birth place","Ulm, Germany"
"Author description","In 1879, Albert Einstein was born in Ulm, Germany. He completed his Ph.D. at the University"

"#","#"
"Author url","http://quotes.toscrape.com/author/J-K-Rowling"
"Author name","J.K. Rowling"
"Author birth date","July 31, 1965"
"Author birth place","Yate, South Gloucestershire, England, The United Kingdom"
"Author description","See also: Robert GalbraithAlthough she writes under the pen name J.K. Rowling, pronounced l"

"#","#"
"Author url","http://quotes.toscrape.com/author/Jane-Austen"
"Author name","Jane Austen"
"Author birth date","December 16, 1775"
"Author birth place","Steventon Rectory, Hampshire, The United Kingdom"
"Author description","Jane Austen was an English novelist whose works of romantic fiction, set among the landed g"

"#","#"
"Author url","http://quotes.toscrape.com/author/Marilyn-Monroe"
"Author name","Marilyn Monroe"
"Author birth date","June 01, 1926"
"Author birth place","The United States"
"Author description","Marilyn Monroe (born Norma Jeane Mortenson; June 1, 1926 – August 5, 1962) was an American "

"#","#"
"Author url","http://quotes.toscrape.com/author/Andre-Gide"
"Author name","André Gide"
"Author birth date","November 22, 1869"
"Author birth place","Paris, France"
"Author description","André Paul Guillaume Gide was a French author and winner of the Nobel Prize in literature i"

"#","#"
"Author url","http://quotes.toscrape.com/author/Thomas-A-Edison"
"Author name","Thomas A. Edison"
"Author birth date","February 11, 1847"
"Author birth place","Milan, Ohio, The United States"
"Author description","Thomas Alva Edison was an American inventor, scientist and businessman who developed many d"

"#","#"
"Author url","http://quotes.toscrape.com/author/Eleanor-Roosevelt"
"Author name","Eleanor Roosevelt"
"Author birth date","October 11, 1884"
"Author birth place","The United States"
"Author description","Anna Eleanor Roosevelt was an American political leader who used her influence as an active"

"#","#"
"Author url","http://quotes.toscrape.com/author/Steve-Martin"
"Author name","Steve Martin"
"Author birth date","August 14, 1945"
"Author birth place","Waco, Texas, The United States"
"Author description","Stephen Glenn ""Steve"" Martin is an American actor, comedian, writer, playwright, producer, "

"#","#"
"Author url","http://quotes.toscrape.com/page/2//author/Bob-Marley"
"Author name","Bob Marley"
"Author birth date","August 14, 1945"
"Author birth place","Waco, Texas, The United States"
"Author description","Stephen Glenn ""Steve"" Martin is an American actor, comedian, writer, playwright, producer, "

"#","#"
"Author url","http://quotes.toscrape.com/page/2//author/Dr-Seuss"
"Author name","Dr. Seuss"
"Author birth date","August 14, 1945"
"Author birth place","Waco, Texas, The United States"
"Author description","Stephen Glenn ""Steve"" Martin is an American actor, comedian, writer, playwright, producer, "

"#","#"
"Author url","http://quotes.toscrape.com/page/2//author/Douglas-Adams"
"Author name","Douglas Adams"
"Author birth date","August 14, 1945"
"Author birth place","Waco, Texas, The United States"
"Author description","Stephen Glenn ""Steve"" Martin is an American actor, comedian, writer, playwright, producer, "

"#","#"
"Author url","http://quotes.toscrape.com/page/2//author/Elie-Wiesel"
"Author name","Elie Wiesel"
"Author birth date","August 14, 1945"
"Author birth place","Waco, Texas, The United States"
"Author description","Stephen Glenn ""Steve"" Martin is an American actor, comedian, writer, playwright, producer, "

"#","#"
"Author url","http://quotes.toscrape.com/page/2//author/Friedrich-Nietzsche"
"Author name","Friedrich Nietzsche"
"Author birth date","August 14, 1945"
"Author birth place","Waco, Texas, The United States"
"Author description","Stephen Glenn ""Steve"" Martin is an American actor, comedian, writer, playwright, producer, "

"#","#"
"Author url","http://quotes.toscrape.com/page/2//author/Mark-Twain"
"Author name","Mark Twain"
"Author birth date","August 14, 1945"
"Author birth place","Waco, Texas, The United States"
"Author description","Stephen Glenn ""Steve"" Martin is an American actor, comedian, writer, playwright, producer, "

"#","#"
"Author url","http://quotes.toscrape.com/page/2//author/Allen-Saunders"
"Author name","Allen Saunders"
"Author birth date","August 14, 1945"
"Author birth place","Waco, Texas, The United States"
"Author description","Stephen Glenn ""Steve"" Martin is an American actor, comedian, writer, playwright, producer, "

"#","#"
"Author url","http://quotes.toscrape.com/page/3//author/Pablo-Neruda"
"Author name","Pablo Neruda"
"Author birth date","August 14, 1945"
"Author birth place","Waco, Texas, The United States"
"Author description","Stephen Glenn ""Steve"" Martin is an American actor, comedian, writer, playwright, producer, "

"#","#"
"Author url","http://quotes.toscrape.com/page/3//author/Ralph-Waldo-Emerson"
